Ri,OID,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
R66,O66,44_e,25,40,19,27,17,19,29,29,26,32,7,23,13,14,59,59
R67,O67,44_e,20,37,18,26,13,17,48,49,20,26,13,23,12,18,10,10
R68,O68,44_e,38,40,20,25,25,25,47,51,20,30,12,18,8,13,10,23
R69,O69,44_e,20,38,19,21,11,15,34,48,19,23,12,12,1,9,15,15
R70,O70,44_e,34,34,19,19,13,25,39,39,16,17,12,13,14,14,11,11
R71,O71,44_e,37,39,11,24,13,29,59,68,16,18,7,10,15,22,11,11
R72,O72,44_e,35,36,18,25,17,17,42,50,16,25,17,17,12,23,11,61
R73,O73,44_e,42,46,19,23,11,23,29,46,18,18,11,15,8,13,27,29
R74,O74,44_e,40,47,20,25,13,23,38,42,28,30,14,16,9,12,10,23
R75,O75,44_e,25,44,21,27,19,25,29,38,23,28,12,14,12,12,17,23
R76,O76,44_e,43,43,19,19,8,10,36,45,19,22,5,12,12,12,17,25
R77,O77,44_e,32,40,26,31,17,21,38,42,16,33,14,15,12,15,23,23
R78,O78,44_e,40,44,19,26,17,19,29,42,18,22,7,17,12,24,23,23
R79,O79,44_e,39,40,16,26,11,21,37,37,25,27,14,16,8,12,11,23
R80,O80,44_e,35,40,12,21,22,29,43,61,16,30,16,16,12,22,11,11
R81,O81,44_e,25,25,25,27,18,22,29,39,16,19,12,16,12,15,17,17
R82,O82,44_e,20,39,20,25,23,29,43,50,15,30,12,15,12,14,10,11
R83,O83,44_e,40,44,23,27,17,19,29,29,10,15,7,12,12,14,10,12
R84,O84,44_n,27,44,18,22,17,19,34,44,19,26,9,12,11,15,26,27
R85,O85,44_n,42,45,16,18,17,17,41,49,16,25,9,12,14,18,17,17
R86,O86,44_n,35,39,20,25,13,19,38,41,19,30,4,6,11,14,23,24
R87,O87,44_n,39,40,20,21,19,19,29,29,16,26,10,15,10,14,56,56
R88,O88,44_n,20,40,18,25,15,19,40,41,19,25,7,14,8,16,17,17
R89,O89,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,20,22,27
R90,O90,44_n,34,43,21,26,7,29,38,40,6,15,10,12,15,15,5,5
R91,O91,44_n,44,48,16,20,11,25,46,47,18,22,13,14,11,13,23,26
R92,O92,44_n,32,44,18,20,25,29,32,32,16,22,13,13,10,13,13,22
R93,O93,44_n,20,20,24,27,13,25,29,41,14,33,4,12,14,21,27,27
R94,O94,44_n,37,48,18,20,11,29,38,44,16,18,13,17,11,20,22,22
R95,O95,44_n,32,37,18,27,17,29,32,41,16,22,13,18,10,19,22,22
R96,O96,44_n,37,40,26,26,17,17,41,52,28,30,14,17,12,25,11,11
R97,O97,44_n,36,37,18,27,17,19,30,30,16,19,7,15,13,25,53,67
R98,O98,44_n,39,42,17,24,17,17,32,41,16,26,4,5,11,11,11,15
R99,O99,44_n,37,41,17,27,7,17,54,57,16,19,17,17,10,15,18,27
R100,O100,44_n,40,46,21,25,17,19,34,34,22,28,9,14,11,15,10,27
R101,O101,44_n,31,40,19,29,9,17,53,53,22,30,12,14,8,14,69,70
R102,O102,44_n,37,42,26,27,15,17,82,82,16,25,18,18,10,10,15,27
R103,O103,44_n,41,45,16,21,15,23,44,44,16,16,18,19,8,8,12,25
R104,O104,44_n,45,49,21,32,11,22,30,42,10,18,17,23,13,13,20,20
R105,O105,44_n,20,36,20,26,19,21,32,38,25,28,7,11,14,33,17,20
R106,O106,44_n,30,30,13,15,13,19,42,47,26,30,9,15,15,27,23,24
R107,O107,44_n,37,42,18,26,17,17,40,41,16,28,13,17,12,20,11,27
R108,O108,44_n,34,43,22,25,15,17,28,28,16,25,4,7,12,15,15,15
R109,O109,44_n,48,49,22,25,13,17,34,41,26,29,12,15,11,28,24,27
R110,O110,44_s,40,45,17,21,13,17,40,43,16,22,11,12,13,13,10,10
R111,O111,44_s,28,38,19,27,17,21,39,39,15,16,5,15,13,23,10,15
R112,O112,44_s,38,44,11,23,11,21,50,54,16,24,6,12,10,14,20,21
R113,O113,44_s,37,43,24,26,15,23,43,44,16,17,12,16,14,14,20,20
R114,O114,44_s,38,41,26,26,15,23,85,86,17,21,4,17,10,10,10,19
R115,O115,44_s,34,43,13,26,15,19,38,42,16,18,13,19,10,13,22,42
R116,O116,44_s,1,14,11,29,15,23,42,51,17,17,9,12,6,13,23,23
R117,O117,44_s,34,43,21,23,9,11,38,38,22,32,7,10,9,15,10,17
R118,O118,44_s,36,37,25,29,13,19,29,44,20,21,11,12,11,23,20,20
R119,O119,44_s,34,39,23,26,15,19,41,42,21,23,13,19,10,10,10,22
R120,O120,44_s,40,45,17,21,13,17,39,42,16,22,11,12,13,18,9,10
R121,O121,44_s,44,45,17,25,13,21,39,52,16,21,10,11,13,24,11,30
R122,O122,44_s,25,44,20,25,15,23,44,44,25,27,16,19,10,14,23,35
R123,O123,44_s,36,36,18,23,15,15,39,43,27,31,11,11,14,14,29,30
R124,O124,44_s,38,41,11,26,15,23,44,47,22,24,8,12,9,12,10,20
R125,O125,44_s,36,44,25,25,15,15,43,46,18,19,16,17,9,15,14,35
R126,O126,44_s,37,43,13,26,3,9,31,43,16,17,12,17,14,23,9,10
R127,O127,44_s,20,44,11,26,1,20,38,46,24,28,7,11,10,13,17,20
R128,O128,44_s,34,44,28,29,23,23,50,50,16,21,5,17,14,15,20,35
R129,O129,44_s,28,39,19,23,15,17,39,41,16,16,15,19,10,13,10,10
R130,O130,46_e,53,54,19,21,15,21,48,49,21,21,11,21,12,12,14,14
R131,O131,46_e,41,46,18,24,11,21,45,50,16,18,11,18,13,14,28,29
R132,O132,46_e,25,36,21,27,9,16,34,36,19,33,16,19,9,12,16,18
R133,O133,46_e,38,42,11,11,15,23,38,43,13,18,10,13,8,12,8,11
R134,O134,46_e,20,36,20,21,11,17,40,41,18,18,4,4,14,24,27,27
R135,O135,46_e,38,46,26,27,15,24,49,49,16,21,9,21,13,23,10,11
R136,O136,46_e,40,41,19,26,13,15,38,43,17,23,11,15,13,13,32,33
R137,O137,46_n,25,40,24,27,13,27,42,48,16,19,12,15,15,24,10,12
R138,O138,46_n,30,43,20,28,17,25,39,47,21,22,4,15,12,14,14,18
R139,O139,46_n,20,34,13,15,15,19,20,36,16,26,12,19,11,11,11,11
R140,O140,46_n,36,43,20,25,9,13,41,44,21,24,3,19,12,24,34,34
R141,O141,46_n,36,36,20,26,9,21,49,49,21,23,13,16,11,20,45,46
R142,O142,46_n,38,43,11,19,13,21,43,45,26,37,10,13,10,12,30,31
R143,O143,46_n,31,38,27,31,17,17,43,44,21,22,4,12,13,15,10,27
R144,O144,48B_e,30,31,11,34,15,25,37,37,15,26,4,16,13,15,25,26
R145,O145,48B_e,23,38,20,28,17,17,51,54,16,25,2,6,8,18,48,60
R146,O146,48B_e,30,36,21,28,15,19,40,40,16,18,10,13,12,12,11,13
R147,O147,48B_e,25,34,21,26,13,15,35,53,15,15,10,13,13,13,22,22
R148,O148,48B_e,39,40,26,27,17,21,46,49,14,16,5,13,11,12,58,59
R149,O149,48B_e,10,11,20,20,17,19,37,43,17,20,9,16,8,13,13,22
R150,O150,48B_e,31,32,27,34,15,15,36,36,14,15,4,12,8,14,22,22
R151,O151,48B_e,30,40,26,33,15,15,37,37,26,36,4,9,12,12,26,58
R152,O152,48B_e,14,14,26,27,17,21,43,43,14,16,5,13,12,19,11,11
R153,O153,48B_e,15,34,17,22,23,25,36,38,15,16,13,16,8,14,26,26
R154,O154,48B_e,36,44,18,25,19,21,38,75,18,24,13,13,12,19,9,10
R155,O155,48B_s,21,40,14,31,7,15,40,42,16,25,21,22,12,13,25,26
R156,O156,48B_s,21,38,13,14,9,17,31,41,16,23,10,13,13,15,17,17
R157,O157,48B_s,28,47,14,25,7,19,50,54,13,16,15,17,18,18,28,56
R158,O158,48B_s,39,40,18,21,17,21,42,49,16,17,21,31,13,20,21,31
R159,O159,48B_s,38,43,25,31,15,15,42,42,15,16,9,13,11,15,14,17
R160,O160,48B_s,38,39,14,27,15,15,40,41,16,16,10,19,12,14,29,32
R161,O161,48B_s,22,39,14,30,15,15,40,41,16,26,19,19,12,14,26,26
R162,O162,48B_s,31,48,11,23,16,18,31,41,16,23,10,13,13,14,7,11
R163,O163,48B_s,23,23,21,27,21,25,42,47,16,16,4,16,8,13,26,27
R164,O164,48B_s,38,42,24,31,11,11,38,39,16,18,13,13,10,13,34,35
R165,O165,54B_e,40,41,19,24,12,21,39,39,16,16,12,12,13,13,10,20
R166,O166,54B_e,38,41,22,25,7,9,29,29,16,18,12,16,14,14,25,26
R167,O167,54B_e,41,41,11,24,9,13,29,49,16,18,5,12,12,12,54,72
R168,O168,54B_e,41,41,25,25,7,7,29,41,16,16,4,18,13,13,18,27
R169,O169,54B_e,39,41,22,24,9,17,29,29,16,18,12,12,13,15,10,12
R170,O170,54B_e,37,38,19,25,15,21,29,40,16,23,5,12,12,15,52,53
R171,O171,54B_e,37,41,11,26,13,15,37,38,16,17,5,12,8,12,9,10
R172,O172,54B_e,41,42,25,26,13,29,29,29,16,16,12,12,13,19,11,12
R173,O173,54B_e,40,41,17,22,9,17,37,39,15,16,13,15,11,18,10,27
R174,O174,54B_e,22,42,17,19,13,19,37,37,16,27,3,6,14,25,27,28
R175,O175,54B_e,35,40,17,17,15,25,45,46,17,17,5,12,12,18,9,9
R176,O176,54B_e,35,39,17,24,17,25,29,29,16,16,12,12,13,18,65,66
R177,O177,54B_e,41,42,24,24,17,29,29,29,16,18,11,12,12,12,11,11
R178,O178,54B_e,37,39,24,26,9,29,29,29,26,31,23,28,15,20,12,12
R179,O179,54B_e,39,40,18,24,9,29,29,29,27,27,10,18,7,13,65,66
R180,O180,54B_e,41,42,19,24,9,25,29,30,26,31,12,18,15,20,66,67
R181,O181,54B_e,38,45,18,21,23,29,29,42,26,26,4,11,8,14,9,9
R182,O182,54B_e,38,38,22,25,15,23,29,38,24,27,12,12,13,17,27,27
R183,O183,54B_e,25,40,19,24,17,21,29,36,17,17,4,18,12,13,11,11
R184,O184,54B_e,22,22,18,20,15,25,35,35,18,18,4,19,10,11,54,54
R185,O185,54B_e,41,42,24,26,17,29,1,1,16,18,10,12,13,13,11,11
R186,O186,54B_e,44,49,24,28,11,13,38,39,17,23,11,11,22,22,21,68
R187,O187,54B_e,32,42,19,25,21,23,51,51,17,22,4,12,13,13,54,54
R188,O188,54B_e,35,36,18,20,7,19,43,44,15,23,12,12,13,17,11,11
R189,O189,54B_e,22,34,19,26,21,25,8,33,16,28,12,15,14,21,29,30
R190,O190,54B_e,22,40,17,26,21,25,29,29,16,28,7,12,14,21,11,11
R191,O191,54B_e,22,34,18,27,21,23,29,29,17,23,12,19,8,15,29,30
R192,O192,54B_e,40,42,19,26,21,29,30,30,21,28,18,18,21,25,11,11
R193,O193,54B_w,39,40,11,17,17,25,29,29,14,18,3,12,14,18,50,51
R194,O194,54B_w,36,39,17,29,17,17,29,42,14,18,14,14,14,18,10,14
R195,O195,54B_w,41,42,11,11,21,25,29,42,14,17,4,4,10,18,1,4
R196,O196,54B_w,26,40,11,11,17,23,29,37,14,15,5,5,18,20,25,53
R197,O197,54B_w,40,41,11,24,17,21,29,47,17,17,4,12,14,18,49,51
R198,O198,54B_w,41,44,11,27,7,17,45,53,16,22,4,17,11,23,21,21
R199,O199,54B_w,39,40,11,11,17,21,29,46,17,18,4,12,14,18,50,51
R200,O200,54B_w,35,37,11,20,21,25,30,30,16,20,12,12,12,12,11,11
R201,O201,54B_w,28,38,18,28,16,16,29,42,14,18,14,14,13,17,11,51
R202,O202,54B_w,47,48,11,19,9,17,23,24,16,16,14,14,8,18,9,9
R203,O203,54B_w,39,40,11,29,1,17,42,42,14,14,4,14,18,18,20,51
R204,O204,56B_n,35,43,20,20,17,21,50,50,15,16,8,19,8,14,10,22
R205,O205,56B_n,36,42,19,26,11,27,41,41,16,16,10,16,11,20,17,22
R206,O206,56B_n,31,36,25,25,16,16,40,46,18,20,5,17,12,17,25,29
R207,O207,56B_n,22,26,14,15,9,17,41,47,17,17,5,12,8,23,11,11
R208,O208,56B_n,35,42,21,24,9,21,42,49,14,17,10,18,8,14,15,15
R209,O209,56B_n,9,16,19,26,11,19,40,41,16,17,11,15,14,22,10,10
R210,O210,56B_n,36,47,15,25,11,23,40,40,10,16,16,24,11,22,17,17
R211,O211,56B_n,42,44,21,27,7,21,40,49,14,18,19,20,14,23,21,21
R212,O212,56B_n,38,41,11,17,9,23,37,46,23,29,13,23,7,7,22,22
R213,O213,56B_n,25,43,21,24,9,21,36,49,24,27,10,14,14,14,52,52
R214,O214,56B_n,37,41,19,25,17,21,44,44,25,28,12,15,20,20,12,12
R215,O215,56B_n,28,34,21,21,11,17,37,37,12,16,17,17,12,12,11,63
R216,O216,56B_n,38,39,23,24,19,21,42,42,17,22,11,13,15,24,16,16
R217,O217,56B_s,38,41,11,18,13,15,41,41,16,20,18,18,14,17,11,11
R218,O218,56B_s,18,21,21,26,7,7,41,41,17,34,5,8,14,15,18,23
R219,O219,56B_s,36,41,11,19,13,21,41,41,16,20,16,18,17,23,11,14
R220,O220,56B_s,41,57,18,23,21,23,28,28,14,16,5,14,13,20,13,20
R221,O221,56B_s,38,42,17,18,15,15,44,45,16,16,12,18,14,20,33,33
R222,O222,56B_s,5,16,15,26,17,21,41,47,14,14,5,13,6,13,32,32
R223,O223,56B_s,1,8,11,18,13,15,41,48,16,16,12,18,17,20,14,36
R224,O224,56B_s,37,44,17,26,9,21,28,47,14,26,12,12,13,20,13,20
R225,O225,56B_s,37,38,24,24,9,19,41,44,15,17,5,20,8,13,66,67
R226,O226,56B_s,36,39,23,25,13,21,41,41,15,16,5,8,17,20,12,13
R227,O227,58E_e,42,44,11,22,13,19,46,47,16,19,11,13,8,12,15,15
R228,O228,58E_e,38,45,26,27,17,21,46,46,15,15,1,19,9,13,20,29
R229,O229,58E_e,38,42,22,30,23,23,34,34,15,19,1,13,12,17,15,15
R230,O230,58E_e,27,38,20,27,13,23,43,46,19,27,2,23,14,17,20,29
R231,O231,58E_e,36,40,19,22,19,19,46,47,15,18,11,12,15,19,20,20
R232,O232,58E_e,28,29,11,25,6,27,40,44,12,16,10,12,12,12,45,46
R233,O233,58E_e,41,42,22,22,23,25,48,54,16,16,10,21,12,12,10,22
R234,O234,58E_e,29,40,22,27,13,19,37,37,15,15,12,12,14,15,18,24
R235,O235,58E_e,27,35,19,24,14,19,42,42,18,21,10,35,13,18,11,20
R236,O236,58E_e,27,42,25,28,13,19,46,54,16,27,10,23,8,12,22,29
R237,O237,58E_e,29,36,19,22,17,19,42,46,15,17,5,7,12,16,11,11
R238,O238,58E_e,27,41,19,24,19,23,45,47,27,37,21,23,7,11,10,20
R239,O239,58E_e,31,48,10,21,7,15,38,44,15,16,12,40,12,12,20,20
R240,O240,58E_e,29,38,24,26,17,27,38,43,27,31,1,12,9,12,20,20
R241,O241,58E_e,31,36,22,25,11,22,53,54,16,18,2,14,10,13,11,11
R242,O242,58E_e,36,38,22,26,19,23,30,30,16,16,12,23,14,19,29,33
R243,O243,58E_n,42,43,14,15,13,25,44,45,13,16,13,13,8,23,19,28
R244,O244,58E_n,35,44,14,27,23,23,42,43,16,19,11,11,18,22,28,29
R245,O245,58E_n,31,53,11,27,19,19,44,45,19,23,11,19,10,17,11,16
R246,O246,58E_n,38,38,27,27,13,23,36,44,15,17,2,6,13,19,18,55
R247,O247,58E_n,34,38,14,14,7,17,39,39,13,16,9,12,12,18,23,28
R248,O248,58E_n,42,44,11,24,19,23,43,44,16,21,13,15,8,13,26,29
R249,O249,58E_n,38,47,11,21,13,21,37,37,16,22,12,13,10,14,10,13
R250,O250,58E_n,35,42,14,18,6,15,41,41,13,16,12,12,17,17,13,13
R251,O251,58E_n,22,43,13,18,11,15,42,42,16,20,12,14,12,18,11,14
R252,O252,58E_n,34,40,11,27,11,23,47,47,13,16,14,18,11,11,29,29
R253,O253,58E_n,40,42,19,28,11,19,55,58,17,21,11,13,8,11,27,33
R254,O254,58E_n,38,45,11,20,13,19,34,45,13,13,14,18,12,16,26,26
R255,O255,58E_n,35,42,18,24,15,23,44,45,17,21,11,14,9,22,31,31
R256,O256,58E_n,35,39,26,27,19,23,46,47,16,22,14,17,11,11,28,29
R257,O257,58E_n,31,42,11,20,23,29,46,50,16,21,18,24,8,12,17,29
R258,O258,58E_n,30,40,24,28,11,11,45,45,13,17,8,11,8,13,22,22
R259,O259,58E_n,28,40,24,28,11,17,46,46,16,21,4,4,11,14,29,29
R260,O260,58E_n,35,38,24,27,23,23,43,43,27,27,10,11,13,22,54,55
R261,O261,58E_n,27,28,7,23,13,23,43,44,18,18,13,17,12,16,26,26
R262,O262,58E_n,40,42,10,24,7,17,39,42,15,16,15,18,16,16,14,14
R263,O263,58E_n,9,14,20,22,15,24,42,43,13,18,4,17,13,14,19,19
R264,O264,58E_n,40,42,19,28,11,19,43,43,17,17,11,13,8,11,28,29
R265,O265,58E_n,29,43,26,27,15,17,28,39,20,33,18,19,8,22,22,22
R266,O266,58E_n,31,42,11,27,19,29,49,49,14,19,4,18,12,12,11,17
R267,O267,58E_n,31,39,23,27,21,31,40,41,15,16,11,14,8,20,28,29
R268,O268,58E_n,22,43,25,27,11,25,42,42,16,16,14,14,8,18,14,19
R269,O269,58E_n,34,44,18,28,11,13,48,53,15,16,14,18,11,13,29,30
R270,O270,58E_w,38,48,22,30,9,23,34,34,14,17,11,11,12,17,10,14
R271,O271,58E_w,42,47,23,24,23,25,41,47,13,14,7,12,23,28,26,27
R272,O272,58E_w,48,49,11,11,7,23,38,48,13,19,12,23,13,22,27,28
R273,O273,58E_w,39,44,11,39,15,23,41,41,13,24,11,20,13,22,11,11
R274,O274,58E_w,34,41,24,28,15,27,39,42,13,19,11,23,18,22,17,17
R275,O275,58E_w,42,44,21,24,7,17,41,41,15,26,8,12,12,18,21,26
R276,O276,58E_w,39,40,24,26,17,23,38,39,16,17,2,2,13,23,17,17
R277,O277,58E_w,29,48,20,27,15,15,39,42,16,24,5,11,9,13,21,24
R278,O278,59_e,32,43,20,26,15,25,49,51,16,19,5,5,12,18,13,17
R279,O279,59_e,38,40,23,28,9,17,38,43,11,35,9,27,12,15,20,20
R280,O280,59_e,33,45,18,20,19,23,42,45,15,19,10,16,14,19,10,17
R281,O281,59_e,33,45,18,20,19,23,42,44,15,17,10,16,14,19,10,17
R282,O282,59_e,29,38,20,25,19,21,43,45,1,5,12,14,15,15,10,10
R283,O283,59_e,44,45,11,27,7,23,44,49,25,36,13,15,13,18,22,22
R284,O284,59_e,31,45,17,27,17,27,38,43,15,17,18,18,8,11,27,28
R285,O285,59_n,31,45,18,20,17,23,37,37,20,21,15,16,14,22,27,28
R286,O286,59_n,23,40,20,27,7,19,44,45,17,21,7,12,12,23,46,47
R287,O287,59_n,31,36,13,15,21,23,44,45,16,17,21,21,13,23,10,21
R288,O288,59_n,31,34,11,11,25,25,36,48,10,17,1,3,13,16,24,30
R289,O289,59_n,30,44,18,25,12,22,47,61,15,19,12,21,13,20,10,17
R290,O290,59_n,31,36,18,27,15,19,36,47,15,19,18,20,16,18,12,16
R291,O291,59_n,33,41,11,21,6,27,43,47,15,17,15,22,8,8,10,14
R292,O292,59_n,44,45,20,24,7,23,37,50,15,32,7,20,13,23,27,28
R293,O293,59_n,31,33,11,20,7,25,46,46,15,32,22,37,17,23,56,57
R294,O294,59_n,38,45,25,28,7,25,48,48,15,15,9,10,15,22,23,23
R295,O295,59_n,31,45,18,20,17,23,37,50,20,25,16,16,13,22,25,32
R296,O296,59_n,44,45,18,28,7,17,37,49,12,16,6,7,22,22,13,20
R297,O297,59_n,36,44,20,25,7,25,45,45,17,19,19,20,9,19,10,21
R298,O298,59_n,35,36,11,25,7,31,37,40,16,24,5,21,18,23,18,18
R299,O299,59_n,32,32,20,24,7,27,28,36,15,33,4,4,9,14,4,27
R300,O300,59_n,29,31,18,28,7,23,37,37,15,20,10,15,13,13,27,28
R301,O301,59_n,29,45,20,20,7,23,36,48,15,21,10,15,13,13,12,13
R302,O302,59_n,35,36,20,27,7,19,39,39,15,21,14,20,8,17,11,25
R303,O303,59_n,30,36,11,35,9,19,38,46,16,20,11,12,8,18,10,10
R304,O304,59_n,25,25,11,18,9,25,46,46,15,19,7,15,8,14,10,10
R305,O305,59_s,37,39,20,27,13,15,41,44,13,23,2,5,16,17,10,10
R306,O306,59_s,42,44,14,21,7,13,45,46,15,17,12,13,17,18,22,27
R307,O307,59_s,44,45,11,23,11,17,41,46,13,27,10,17,14,18,11,11
R308,O308,59_s,29,38,14,20,7,7,42,47,15,17,10,12,17,23,9,11
R309,O309,59_s,38,50,20,26,23,32,33,42,15,19,19,23,12,13,10,22
R310,O310,59_s,31,45,17,23,9,21,48,50,12,12,5,18,13,21,25,31
R311,O311,59_s,37,43,20,22,13,25,40,49,21,23,5,19,8,13,10,10
R312,O312,59_s,36,37,11,20,13,13,32,44,10,14,2,6,17,23,23,23
R313,O313,59_s,29,31,17,17,17,21,41,44,14,24,10,10,19,22,28,29
R314,O314,59_s,38,43,22,31,25,31,41,54,13,17,7,9,11,23,27,28
R315,O315,59_s,28,44,11,20,27,27,40,48,17,25,6,20,12,17,22,22
R316,O316,59_s,31,38,11,27,7,23,42,44,15,23,2,11,10,17,14,14
R317,O317,59_s,37,40,20,27,13,15,41,44,13,23,2,5,15,15,9,10
R318,O318,59_s,38,49,20,22,13,13,44,50,13,20,6,12,7,12,6,12
R319,O319,59_s,17,21,20,28,17,19,36,36,20,25,9,12,10,12,23,26
R320,O320,59_s,31,41,11,20,1,8,39,40,23,24,23,37,10,17,24,28
